Student_ID,Gender,Age,Semester,Study_Hours_Per_Day,Assignment_Load,Sleep_Hours,Attendance_Percentage,Screen_Time_Hours,Caffeine_Intake,Extracurricular_Hours,Exam_Pressure,Financial_Stress,Social_Support,Stress_Level
S001,Male,18,5,6.0,4,6.3,79,8.3,1,5,2,9,2,Medium
S002,Female,18,1,8.0,2,6.1,78,6.5,1,4,10,1,9,Low
S003,Male,23,7,8.2,4,7.7,93,6.1,4,2,1,3,7,Low
S004,Female,20,3,6.1,4,5.8,86,6.1,0,0,7,2,6,Medium
S005,Female,22,5,5.5,1,3.6,94,3.6,4,0,7,2,9,Low
S006,Female,24,6,3.9,10,5.0,77,7.6,5,0,1,4,5,Medium
S007,Male,24,4,3.2,2,4.4,89,9.9,2,3,6,3,6,Low
S008,Female,19,5,4.5,2,6.6,75,4.2,4,5,4,3,8,Low
S009,Female,20,4,3.9,6,6.7,68,4.7,1,0,6,7,5,Medium
S010,Male,19,6,5.8,4,5.6,96,6.4,3,5,8,3,5,Medium
S011,Male,19,5,3.8,10,9.0,92,7.0,4,3,6,4,3,Medium
S012,Female,18,1,2.9,2,7.7,74,4.6,5,1,7,10,2,Medium
S013,Female,21,8,5.4,9,3.6,81,4.3,4,0,2,9,5,High
S014,Female,18,5,5.4,7,7.6,75,7.3,3,0,5,9,3,High
S015,Male,24,5,4.8,9,6.0,77,4.0,1,2,3,9,9,Medium
S016,Male,22,6,3.6,8,5.8,66,9.1,0,2,5,4,1,High
S017,Male,22,2,5.7,2,3.9,96,7.6,0,4,3,3,8,Low
S018,Male,20,7,4.2,4,5.5,99,8.2,5,5,4,5,7,Medium
S019,Female,21,8,7.1,2,7.9,80,5.3,1,0,6,1,10,Low
S020,Male,22,4,4.4,1,7.0,69,9.0,5,5,1,4,2,Low
S021,Male,24,6,4.0,2,6.2,97,4.8,1,2,8,4,9,Low
S022,Male,23,8,2.6,4,7.7,95,9.7,3,1,2,2,7,Low
S023,Female,21,7,4.9,8,8.0,68,7.7,5,5,2,1,7,Low
S024,Female,24,2,3.7,4,7.0,77,10.1,1,4,8,3,7,Medium
S025,Male,20,8,4.9,4,8.8,69,2.0,3,4,2,1,9,Low
S026,Male,18,4,6.6,3,6.6,91,6.4,3,3,4,7,1,Medium
S027,Male,21,1,5.2,7,3.5,81,6.6,3,2,7,9,8,High
S028,Male,19,5,5.7,4,8.7,68,6.0,4,5,9,1,6,Low
S029,Male,18,8,3.4,9,5.7,98,8.8,1,0,9,2,3,High
S030,Male,22,2,5.7,4,5.7,90,8.0,0,4,4,10,10,Medium
S031,Male,22,2,5.2,7,8.0,98,5.6,2,2,4,6,4,Medium
S032,Female,21,3,4.3,5,5.9,94,4.1,2,0,1,8,10,Low
S033,Male,18,4,5.6,9,6.9,81,7.0,1,2,2,4,6,Medium
S034,Female,19,8,4.5,9,4.4,84,6.2,4,5,9,1,9,Medium
S035,Female,23,2,4.3,3,5.3,81,6.7,0,0,9,3,5,Medium
S036,Female,22,4,5.8,6,9.0,78,7.3,5,5,5,9,8,Medium
S037,Female,24,1,5.5,2,6.4,92,3.2,2,0,1,6,3,Low
S038,Female,19,8,4.9,9,6.6,92,11.9,4,0,2,2,3,Medium
S039,Male,24,6,4.6,10,7.0,100,6.9,1,3,3,1,5,Medium
S040,Female,24,1,2.7,6,8.2,78,8.5,5,1,2,6,9,Low
S041,Female,22,3,6.6,4,5.1,75,9.8,1,3,1,3,6,Low
S042,Female,24,4,2.2,5,7.4,75,11.4,5,0,7,1,8,Low
S043,Male,19,8,3.0,6,5.7,84,7.2,1,1,1,4,7,Low
S044,Female,20,2,4.0,5,4.2,87,7.1,5,4,7,9,6,High
S045,Male,18,5,2.9,3,7.2,81,5.2,0,0,10,7,6,Medium
